"Project","Repository","Hosting","Discovered","Discovery Source","Query","Suggested Target Input","Suggested Category","Suggested Views","Description","Created","Last Update","Stars","Language","License","Archived","Fork","Score","Confidence","Evidence","Review Status","Notes"
"AIL Framework","https://github.com/ail-project/ail-framework","GitHub","2026-07-15","Independent GitHub research: dark web intelligence","dark web collection analysis","Onion Service","Dark Web","","Collects, crawls, processes, correlates, and analyzes unstructured information from Tor and other sources.","2020-04-20","2026-07-15","980","Python","AGPL-3.0","false","false","10","high","Active mature platform supports Tor, I2P, chats, files, feeds, continuous crawling, keyword and YARA detection, retro-hunting, search, and investigation graphs.","accepted","Accepted as a mature licensed platform for continuous dark-web collection, detection, retro-hunting, search, and graph analysis."
"Frigate","https://github.com/blakeblackshear/frigate","GitHub","2026-07-15","Independent GitHub research: camera intelligence","NVR object detection","Image; Video","Media","","Records and analyzes local IP-camera streams with real-time object detection and search.","2019-01-26","2026-07-16","34378","TypeScript","MIT","false","false","10","high","Highly active local NVR implementation with object detection, tracking, recording, and searchable event workflows.","accepted","Accepted as a highly active local NVR and video-intelligence platform."
"Agent Reach","https://github.com/Panniantong/Agent-Reach","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Username; URL","Social Media","AGENTIC.md","Gives agents collection workflows for public content across multiple social and developer platforms.","2026-02-24","2026-07-03","57123","Python","MIT","false","false","9","high","https://github.com/Panniantong/Agent-Reach","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Agentset","https://github.com/agentset-ai/agentset","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Document","Documents & Records","AGENTIC.md","Provides document ingestion, agentic search, ranking, citations, RAG, and MCP access.","2025-03-10","2026-07-04","2031","TypeScript","MIT","false","false","9","high","https://github.com/agentset-ai/agentset","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Ahmia","https://github.com/ahmia/ahmia-site","GitHub","2026-07-15","Independent GitHub research: dark web intelligence","hidden-service search engine","Onion Service","Dark Web","","Provides the open-source web application and search interface for indexing onion services.","2016-05-23","2026-07-09","747","Python","BSD-3-Clause","false","false","9","high","Active canonical Ahmia implementation uses Django and Elasticsearch and integrates dedicated onion crawling and indexing components.","accepted","Accepted as the active canonical implementation of a major onion-service search engine."
"Amanu","https://gitlab.com/varg.alejandro25/amanu","GitLab","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Audio","Media","EMERGING.md","Runs local speech transcription and assigns timestamped passages to detected speakers.","2026-07-09","2026-07-16","1","Python","MIT","false","false","9","high","https://gitlab.com/varg.alejandro25/amanu","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Apache Tika","https://github.com/apache/tika","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Detects file types and extracts text and metadata from many document formats.","2009-05-21","2026-07-16","3870","Java","Apache-2.0","false","false","9","high","https://github.com/apache/tika","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"ArchiveBox","https://github.com/ArchiveBox/ArchiveBox","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Web","","Creates self-hosted, durable archives of web pages and linked online material.","2017-05-05","2026-07-15","27940","Python","MIT","false","false","9","high","https://github.com/ArchiveBox/ArchiveBox","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"ArchiveWeb.page","https://github.com/webrecorder/archiveweb.page","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Web","","Captures selected web pages and browsing sessions into portable web archives.","2020-02-10","2026-04-30","1521","TypeScript","AGPL-3.0","false","false","9","high","https://github.com/webrecorder/archiveweb.page","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Bellingcat ADS-B History","https://github.com/bellingcat/adsb-history","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location; Aircraft ID","Geolocation","","Stores historical ADS-B observations and supports spatial, temporal, and aircraft filtering.","2025-08-22","2026-03-05","87","Vue","MIT","false","false","9","high","https://github.com/bellingcat/adsb-history","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Bellingcat Auto Archiver","https://github.com/bellingcat/auto-archiver","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Web","","Archives web pages, social posts, images, and videos from queued URLs.","2021-01-15","2026-04-27","1095","Python","MIT","false","false","9","high","https://github.com/bellingcat/auto-archiver","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Bellingcat CouncilSearcher","https://github.com/bellingcat/CouncilSearcher","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location","Geolocation","EMERGING.md","Searches local-government documents and records across supported council websites.","2025-05-07","2026-01-07","16","Python","MIT","false","false","9","high","https://github.com/bellingcat/CouncilSearcher","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Bellingcat Geoclustering","https://github.com/bellingcat/geoclustering","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location","Geolocation","","Groups and explores geographic observations to identify spatial patterns.","2022-06-29","2026-07-07","45","Python","MIT","false","false","9","high","https://github.com/bellingcat/geoclustering","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Bellingcat Name Variant Search","https://github.com/bellingcat/name-variant-search","GitHub","2026-07-16","2026 OSINT support-tool market review","Platform-specific and intelligence tooling","Name","Identity","","Generates and searches spelling and transliteration variants of personal names.","2023-07-18","2026-06-25","53","JavaScript","MIT","false","false","9","high","https://github.com/bellingcat/name-variant-search","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Bellingcat Octosuite","https://github.com/bellingcat/octosuite","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Username; Repository URL","Code Repositories","","Collects and analyzes public GitHub repository, user, organization, and activity data.","2022-02-24","2026-02-28","1891","Python","MIT","false","false","9","high","https://github.com/bellingcat/octosuite","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Bellingcat OSM Search","https://github.com/bellingcat/osm-search","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location","Geolocation","","Finds combinations of OpenStreetMap features based on their geographic proximity.","2022-10-05","2026-07-07","207","Vue","MIT","false","false","9","high","https://github.com/bellingcat/osm-search","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Bellingcat Sugartrail","https://github.com/bellingcat/sugartrail","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Organization Name","Documents & Records","","Builds relationship graphs from UK companies, officers, and registered addresses.","2022-09-04","2026-02-20","78","HTML","MIT","false","false","9","high","https://github.com/bellingcat/sugartrail","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Browser Use","https://github.com/browser-use/browser-use","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","AGENTIC.md","Lets AI agents navigate websites, interact with pages, and extract information.","2024-10-31","2026-07-14","105083","Python","MIT","false","false","9","high","https://github.com/browser-use/browser-use","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Browsertrix","https://github.com/webrecorder/browsertrix","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Web","","Provides a collaborative platform for browser-based web archiving and replay.","2021-06-28","2026-07-16","438","TypeScript","AGPL-3.0","false","false","9","high","https://github.com/webrecorder/browsertrix","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Browsertrix Crawler","https://github.com/webrecorder/browsertrix-crawler","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Web","","Captures interactive websites as WARC and WACZ archives with replay quality checks.","2020-11-02","2026-07-16","1081","TypeScript","AGPL-3.0","false","false","9","high","https://github.com/webrecorder/browsertrix-crawler","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"CoastSat","https://github.com/kvos/CoastSat","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location; Image","Geolocation","","Extracts and analyzes shoreline change from public satellite imagery.","2018-09-28","2026-05-29","885","Jupyter Notebook","GPL-3.0","false","false","9","high","https://github.com/kvos/CoastSat","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"CompreFace","https://github.com/exadel-inc/CompreFace","GitHub","2026-07-15","Independent GitHub research: face intelligence","self-hosted face recognition","Name; Image","Media","","Self-hosted face recognition and verification service with a REST API.","2020-07-06","2023-11-14","8138","Java","Apache-2.0","false","false","9","high","Substantial licensed implementation provides recognition, verification, detection, and similarity services.","accepted","Accepted as a substantial Apache-licensed self-hosted face-analysis service."
